constructorId,year,diffPCT,Z_Score,robustZ,color,edgecolor,rankPCT,rankZScore,rankRobustZ
honda,2008,1.2464622739325932,0.3106177751330597,0.5966397213348144,gray,black,382,669,714
brm,1972,1.2441874068088201,-0.4550010511906661,-0.5877363716097912,gray,black,381,374,301
force-india,2009,1.24335368673689,0.6570641318502847,1.2034906077321272,green,orange,380,751,814
prost,1999,1.240547914992844,-0.2161057533272138,-0.10667139216621203,gray,black,379,465,477
stewart,1997,1.2366073248080556,-0.18323930545653042,-0.027934481755431277,gray,black,378,484,511
williams,1978,1.2353507090964866,-0.45851388196657467,-0.3846086642458305,white,navy,377,373,375
toyota,2004,1.2315519059065183,-0.1974999573025011,0.039362360608543395,gray,black,376,478,554
mclaren,1994,1.231344836379606,-0.6758673811709844,-0.7679167719830837,orange,darkorange,375,276,218
cooper,1963,1.227876942428203,-0.7062929355163943,-0.5449689832002924,gray,black,374,259,318
brabham,1972,1.2259969082535238,-0.491829496693948,-0.4935709104061998,silver,darkslategray,373,352,335
kojima,1977,1.2221185798320777,-0.16826756673950652,-0.011241512657943254,gray,black,372,493,523
lotus,1971,1.2191681438560824,-0.5546810544092801,-0.6937619240330694,gold,black,371,327,241
toro-rosso,2014,1.215263224626565,-0.16530858409035512,-0.03731426470493769,blue,maroon,370,494,506
force-india,2014,1.212988132828289,-0.1630103376543717,0.0,green,orange,369,495,534
alpine,2022,1.2095371443240386,-0.3377944839065391,-0.3306019491345108,pink,blue,368,411,392
mclaren,1970,1.208886630844426,-0.4830175372105084,-0.4595619351790942,orange,darkorange,367,361,345
renault,1978,1.2052010301679899,-0.5000125823683708,-0.35924453614097934,yellow,black,366,348,385
hill,1975,1.2030713428716713,-0.22240095108924116,-0.06842659878748067,gray,black,365,459,495
ferrari,1985,1.2015638592791773,-0.6193710963172918,-0.8241726368813123,red,red,364,297,199
williams,2000,1.196180633653632,-0.48422804733420505,-0.561007048043746,white,navy,363,359,308
mclaren,1981,1.1945979187411448,-0.6072268743517925,-0.5649096276848795,orange,darkorange,362,301,305
red-bull,2005,1.1945600935572216,-0.1757300369151538,0.10123103833545592,darkblue,red,361,489,576
matra,1970,1.1917911947423538,-0.4785290305539984,-0.5602624856942686,gray,black,360,363,309
lotus-f1,2015,1.1913692852209836,-0.23350733235471122,-0.11227390154604129,gold,black,359,452,472
surtees,1973,1.189833794985263,-0.37182281639374903,-0.20234722784297857,gray,black,358,398,432
force-india,2013,1.1889918588194441,-0.3655979258242399,0.001677837710140784,green,orange,357,401,536
williams,2024,1.17897523875817,0.27785405853405165,0.2954164954296716,white,navy,356,657,636
march,1972,1.1636019424351058,-0.48902357465372215,-0.45886522922580214,steelblue,gold,355,355,346
mclaren,1971,1.1616992583005048,-0.4908723723232098,-0.5395926075812761,orange,darkorange,354,353,320
jordan,1998,1.1533453746149904,-0.5743651330821393,-0.4973965580126847,yellow,black,353,321,333
ferrari,2020,1.1407177043197505,-0.3649532889824652,-0.2908050323644992,red,red,352,403,402
shadow,1976,1.1281158911761051,-0.3939850893732101,-0.12775498052599757,gray,black,351,389,466
force-india,2015,1.1276631540012014,-0.25809239685082663,-0.10052137598570418,green,orange,350,442,481
brm,1970,1.1244243989098242,-0.4834275685335055,-0.6245284809968474,gray,black,349,360,282
force-india,2010,1.1237127297577647,-0.3672249333571174,-0.1768432966285247,green,orange,348,400,447
ligier,1978,1.1199632116130014,-0.4820973123024707,-0.3818467175565652,white,cyan,347,362,378
jaguar,2004,1.1190288624707756,-0.21394827748484413,0.24250751268224757,gray,black,346,468,626
brabham,1970,1.1189909223032009,-0.5297784669036842,-0.6744907594765952,silver,darkslategray,345,333,258
lotus,1975,1.1169281460191867,-0.28038491610445904,-0.01208371067466213,gold,black,344,433,521
parnelli,1975,1.1133384598960783,-0.2372607618051632,-0.06776088432795283,gray,black,343,448,496
sauber,2005,1.1109836900265744,-0.2313977110682924,0.026701930303903214,white,red,342,456,548
haas,2024,1.11080184757384,0.09111668061691688,0.07578103880922764,black,red,341,593,565
jaguar,2003,1.1099114939348032,-0.274323652818707,-0.13791885299845524,gray,black,340,435,462
ferrari,1973,1.1073001492662748,-0.3920265814478078,-0.441013188888543,red,red,339,391,355
sauber,1997,1.1037718348268124,-0.20644170072954698,-0.060143667161545136,white,red,338,473,498
toro-rosso,2015,1.0963794909830287,-0.2668141281505868,-0.11122680600248294,blue,maroon,337,436,475
tyrrell,1979,1.0892185051532277,-0.5680424861262038,-0.4004788884392284,white,cornflowerblue,336,323,368
cooper,1962,1.0858193049251113,-0.6801596559074624,-0.6932266139065006,gray,black,335,274,242
toro-rosso,2009,1.0725074780578618,0.4453676785116496,0.9000170815306889,blue,maroon,334,706,783
alpine,2021,1.0624160815931951,-0.24256101438400562,-0.09363017597787043,pink,blue,333,446,487
ferrari,1960,1.0616031170172886,-0.6192986205698312,-0.5800620531498719,red,red,332,298,302
mclaren,2013,1.0595334008234212,-0.4723899719362204,-0.29093351421085534,orange,darkorange,331,365,401
williams,2007,1.0497905085158332,-0.32974753821736685,-0.21973888355567922,white,navy,330,412,425
tyrrell,1990,1.0387104270092562,-0.9676667240195647,-0.9457575772940068,white,cornflowerblue,329,160,150
toyota,2007,1.036490435793814,-0.3560154236191437,-0.18006766881954353,gray,black,328,407,443
alfa-romeo,1980,1.0305452879116805,-0.5203884747372153,-0.672011014037343,white,red,327,337,261
williams,1982,1.0275517886258874,-0.9529755955367468,-0.9014729101580374,white,navy,326,167,170
brm,1958,1.0155268474873038,-0.7181490555482416,-0.6534129232429516,gray,black,325,256,269
mercedes,2011,0.9968836141352683,-0.7335243075248605,-0.6320099789954214,cyan,black,324,249,280
red-bull,2007,0.9962425277505855,-0.37766765301979693,-0.163666057486828,darkblue,red,323,395,452
rb,2024,0.9951593912037645,-0.035644669456494436,0.01583795806813077,gray,black,322,545,545
ferrari,1991,0.9943188724024974,-1.2584101646162447,-1.5033872828871333,red,red,321,56,33
ferrari,1993,0.9879369144827352,-0.722882718075599,-0.9170417118957375,red,red,320,254,162
williams,2008,0.979109242945424,-0.014724135306475242,0.3215610552014486,white,navy,319,556,644
mclaren,2020,0.9642510094759994,-0.4940381833628126,-0.34827405824953284,orange,darkorange,318,350,388
jordan,2000,0.9595931251998189,-0.6683783377085474,-0.6814118400309259,yellow,black,317,280,252
parnelli,1976,0.9572317324534105,-0.23654192161440507,0.012527688697559347,gray,black,316,449,544
renault,2007,0.9505010166766119,-0.40807628429612536,-0.3312111681724036,yellow,black,315,385,391
ligier,1977,0.948419844699014,-0.5858004908730693,-0.51541930332815,white,cyan,314,315,326
toyota,2003,0.9346957597782473,-0.4221345720296203,-0.2676860173134851,gray,black,313,382,407
honda,1965,0.9304651522504018,-0.6500257577187915,-0.8127553536652021,gray,black,312,284,202
jordan,2001,0.9287303767361976,-0.6867203897795789,-0.5242345626883148,yellow,black,311,270,324
maserati,1954,0.9152046968493119,-0.9436143408276455,-0.76198366459738,gray,black,310,169,219
lotus,1976,0.9066424679767442,-0.37427112786061617,-0.5103271716533416,gold,black,309,397,327
prost,1997,0.9056674886136509,-0.37987184405093205,-0.15243908805508188,gray,black,308,394,455
benetton,1992,0.9001533784469533,-1.105460900007237,-1.6508250775124453,green,blue,307,104,21
matra,1971,0.8985950871699444,-0.6838905708112063,-0.8324072468143695,gray,black,306,272,197
renault,2020,0.8880885324224556,-0.4365545965183268,-0.41824881544577386,yellow,black,305,379,361
williams,2016,0.8862747017130121,-0.4655485175544845,-0.3665906939056194,white,navy,304,370,384
ferrari,2014,0.8838096276693139,-0.5789419513865923,-0.5619784720271718,red,red,303,319,307
matra,1972,0.8792241171174721,-0.6040309339994178,-0.6009069828621916,gray,black,302,304,294
force-india,2016,0.873632962101603,-0.46930657062308706,-0.37431416699746534,green,orange,301,367,382
maserati,1955,0.8631418485090018,-0.8165498915248159,-0.803779556171399,gray,black,300,212,205
benetton,1998,0.8579575755352804,-0.7624732846387134,-0.6012472470550466,green,blue,299,236,293
lotus,1979,0.8560086404365346,-0.6408474929757672,-0.5457711488894588,gold,black,298,290,316
mclaren,1968,0.8530369428282738,-0.6492131827178159,-0.6618834555611448,orange,darkorange,297,285,266
toro-rosso,2008,0.8495178598621786,-0.2641840812656445,-0.08313869793339371,blue,maroon,296,437,492
mclaren,1996,0.8447820687069161,-0.6836376780042035,-0.6875095410375733,orange,darkorange,295,273,249
kojima,1976,0.8443187280939857,-0.31450620438295385,-0.4628858153270751,gray,black,294,418,344
mclaren,1969,0.8396371301117246,-0.6416497912555954,-0.7210073635784293,orange,darkorange,293,289,233
ferrari,1950,0.8247109077458026,-0.5133062890148586,-0.8387897906311504,red,red,292,342,196
ferrari,2005,0.815791433561611,-0.4993098457248369,-0.43550327898238933,red,red,291,349,357
williams,2006,0.8153980516520034,-0.4648640561368904,-0.17923154764223914,white,navy,290,371,444
brm,1973,0.8141350224130915,-0.5451326714322507,-0.5951389054205252,gray,black,289,329,297
brabham,1985,0.804653966952349,-0.7951973730038918,-0.7092465388364384,silver,darkslategray,288,221,234
toyota,2006,0.8035055422488802,-0.5119868625762387,-0.39685118084124427,gray,black,287,345,371
sauber,2012,0.7992167608424728,-0.51522934108173,-0.16594501495574712,white,red,286,340,451
tyrrell,1977,0.7964789542877593,-0.58571755095424,-0.637833652983302,white,cornflowerblue,285,316,276
